Country,Life_expectancy,GDP,Population,Continent
Afghanistan,63.26254545,1970.560181,34212677.91,Asia
Albania,77.85127273,13191.95215,2899398.545,Europe
Algeria,76.05772727,10735.38281,39807974.09,Africa
Andorra,0,77543,79483.27273,Europe
Angola,58.98763636,6110.274414,27971579.55,Africa
Antigua and Barbuda,76.48472727,17293.30273,93327.27273, North America
Argentina,76.05863636,19690.66211,43060327.09,South America
Armenia,74.38290909,12619.89258,2920662.091,Asia
Australia,82.78354545,48678.68359,23893549.09,Oceania
Austria,81.16809091,51857.69141,8694167.091,Europe
Azerbaijan,72.17381818,13726.76953,9606821.636,Asia
Bahamas,73.09018182,30846.58398,374375.2727,North America
Bahrain,76.75218182,41480.57813,1424906.455,Asia
Bangladesh,71.45763636,4871.446289,156196747.8,Asia
Barbados,78.81509091,12655.40137,285120.0909,North America
Belarus,73.32045455,19186.77539,9436165.545,Europe
Belgium,80.95372727,48769.72656,11280581.36,Europe 
Belize,73.76327273,6121.843262,360538,North America
Benin,60.652,3323.144531,10610307.27,Africa
Bhutan,70.34918182,10551.45215,728084.0909,Asia
Bolivia,70.11527273,7845.170898,10865617.73,South America
Bosnia and Herzegovina,76.83109091,14509.26563,3460838.909,Europe
Botswana,66.351,14654.65137,2144395,Africa
Brazil,74.93581818,14063.98242,204351091.5,South America
Brunei,75.34136364,62200.88281,414039.5455,Asia
Bulgaria,74.525,22379.09375,7193429.182,Europe
Burkina Faso,59.76281818,2155.769287,18167593.36,Africa
Burundi,59.89363636,731.0632324,10212399.09,Africa
Cambodia,68.50854545,4191.566406,15517032.91,Asia
Cameroon,57.49181818,3666.410645,23356505,Africa
Canada,81.99236364,46064.25391,35994461.82,North America
Cape Verde,72.11454545,6045.061035,524529.5455,Africa
Central African Republic,50.71645455,936.2875977,4547466,Africa
Chad,52.94772727,1519.036743,14138338.27,Africa
Chile,79.60727273,23324.52539,18043020.64,South America
China,75.85463636,16315.81543,1405775111,Asia
Colombia,76.49381818,13448.93262,47810300.64,South America
Comoros,63.35272727,2989.17041,778251.8182,Africa
Congo,62.83418182,3433.958984,4875386.182,Africa
Costa Rica,79.58636364,19903.14063,4843106.818,North America
Cote d'Ivoire,55.83881818,5181.311035,23317669.64,Africa
Croatia,77.81827273,27076.97852,4225958.727,Europe
Cuba,78.58545455,12300,11300603,North America
Cyprus,80.32,38816.09375,1161338.273,Europe
Czechia,78.64045455,38511.26953,10617011.36,Europe
Democratic Republic of Congo,59.12854545,1082.44519,76574408.45,Africa
Denmark,80.36718182,55819.91016,5681783.455,Europe
Djibouti,63.98281818,5481.114746,913791,Africa
Dominica,0,10288.86719,71292.72727,North America
Dominican Republic,73.20454545,17003.01367,10278108.36,North America
Ecuador,76.14736364,10329.19922,16270724.82,South America
Egypt,71.27981818,11951.44727,92456395.09,Africa
El Salvador,72.39409091,7982.625977,6329403.545,North America
Equatorial Guinea,57.34772727,17007.625,1170370.364,Africa
Eritrea,64.57672727,1821,3350547.091,Africa
Estonia,77.49518182,35257.16016,1322239.545,Europe
Eswatini,54.62072727,8404.727539,1107766.455,Africa
Ethiopia,64.73754545,2296.827393,101008408.1,Africa
Fiji,67.10263636,11450.75098,873524.3636,Oceania
Finland,81.159,47154.42578,5468787.182,Europe
France,82.19327273,42320.52344,64282737.36,Europe
Gabon,64.54290909,14320.84473,1936117.091,Africa
Gambia,60.95536364,2156.754639,2093404.727,Africa
Georgia,72.84809091,13966.32617,4033223.455,Asia
Germany,80.78454545,51423.23438,82031363.27,Europe
Ghana,62.74281818,5445.725586,27882402.45,Africa
Greece,81.51618182,27072.61914,10654810.45,Europe
Grenada,72.53036364,14488.53223,109477,North America
Guatemala,73.14581818,8393.28418,16260402.36,North America
Guinea,59.53081818,2670.823242,11533166,Africa
Guinea-Bissau,56.819,1847.46582,1740207.091,Africa
Guyana,69.16963636,18679.95508,767441.2727,South America
Haiti,62.45672727,2934.24585,10686992.45,North America
Honduras,74.44809091,5138.385254,9113081.091,North America
Hungary,75.9,31098.39648,9785417.727,Europe
Iceland,82.47545455,52375.67969,330825.5455,Europe
India,68.47390909,6165.746582,1309018462,Asia
Indonesia,70.681,11444.96094,258067787.8,Asia
Iran,75.62154545,12644.44531,78665657.09,Asia
Iraq,69.80463636,9012.381836,35238899.09,Asia
Ireland,81.34309091,90789.21875,4703309.182,Europe
Israel,82.32272727,39056.41797,7993207.909,Asia
Italy,82.82272727,39073.41406,60265880.27,Europe
Jamaica,74.18836364,8761.019531,2888616,North America
Japan,83.87554545,40232.21094,127794344.2,Asia
Jordan,74.06281818,9816.554688,9029912.182,Asia
Kazakhstan,71.01145455,25363.16602,17541262.55,Asia
Kenya,64.46863636,4339.856934,47878302.27,Africa
Kiribati,67.24745455,2259.497803,111073,Oceania
Kuwait,75.06163636,44847.05469,3744510.636,Asia
Kyrgyzstan,70.58990909,4714.938965,5964080.727,Asia
Laos,66.43,7810.734863,6751715.727,Asia
Latvia,74.47018182,30100.26953,1999280.818,Europe
Lebanon,78.73663636,11488.41504,6224878.364,Asia
Lesotho,50.563,2316.987793,2062523.818,Africa
Liberia,62.17645455,1392.004883,4475234.364,Africa
Libya,72.31454545,10282.29102,6475613.455,Africa
Liechtenstein,0,156843,37279,Europe
Lithuania,74.72063636,37107.05859,2925751.091,Europe
Luxembourg,81.525,112557.3125,567181.2727,Europe
Madagascar,65.47663636,1463.86499,24310455.09,Africa
Malawi,61.18136364,1508.842896,16777204,Africa
Malaysia,75.43545455,26471.67383,30287890.91,Asia
Maldives,77.63863636,12744.42969,455280.2727,Asia
Mali,57.50363636,2225.894287,17530069.55,Africa
Malta,81.84381818,39979.69922,430807.6364,Europe
Marshall Islands,0,3932.247803,57575.45455,Oceania
Mauritania,63.89009091,5109.805176,4056261.818,Africa
Mauritius,74.41054545,19462.93164,1259979.091,Africa
Mexico,74.98409091,17852.35938,121719354.5,North America
Micronesia ,67.28327273,3368.545898,108751.8182,Oceania
Moldova,71.18890909,12324.38867,4064966.273,Europe
Monaco,0,173688,37580.90909,Europe
Mongolia,68.94545455,11723.87305,2998100.182,Asia
Montenegro,76.29272727,18258.94922,626737.9091,Europe
Morocco,75.70036364,6986.283691,34641614.27,Africa
Mozambique,57.04754545,1229.940308,27187919,Africa
Myanmar,65.65427273,4857.389648,52582763.64,Asia
Namibia,61.36054545,8814.591797,2321508.364,Africa
Nauru,0,13594.49219,10401.09091,Oceania
Nepal,69.44490909,3800.065674,27510794.91,Asia
Netherlands,81.67327273,54324.38281,16925606.55,Europe
New Zealand,81.68627273,42774.69141,4606134.909,Oceania
Nicaragua,73.61190909,5280.099609,6223856.818,North America
Niger,60.39381818,1221.269897,20133772.64,Africa
Nigeria,53.05163636,4916.721191,181605150.5,Africa
North Korea,71.27381818,2000,25175095.91,Asia
North Macedonia,75.35390909,15931.3623,2078473.818,Europe
Norway,81.88845455,63548,5177710.909,Europe
Oman,76.88754545,29502.06055,4173291.091,Asia
Pakistan,66.47827273,4562.622559,199751018.4,Asia
Palau,0,15473.25195,17796.45455,Oceania
Palestine,73.46809091,5394.071777,4551533.273,Asia
Panama,77.75836364,25389.8125,3973360.545,North America
Papua New Guinea,63.43009091,4063.732178,8117807.091,Oceania
Paraguay,73.59690909,12389.58691,6689111.364,South America
Peru,75.74509091,11260.8457,30725071.64,South America
Philippines,70.62145455,7953.581543,101948473.4,Oceania
Poland,77.75372727,32398.70508,38065928.18,Europe
Portugal,81.18027273,31961.77539,10385862.73,Europe
Qatar,79.74881818,85290.45313,2483970.636,Asia
Romania,75.32745455,28870.92969,19880775.55,Europe
Russia,71.15254545,26456.38867,144863432.6,Europe
Rwanda,67.02463636,2098.710449,11425225.18,Africa
Saint Kitts and Nevis,0,24319.36328,51161,North America
Saint Lucia,75.597,12048.92773,179138.5455,North America
Saint Vincent and the Grenadines,72.14781818,12044.36523,109334.5455,North America
Samoa,72.65763636,6416.77832,192770.2727,Oceania
San Marino,0,59000,32954.90909,Europe
Sao Tome and Principe,69.226,4051.604736,199643.3636,Africa
Saudi Arabia,74.62654545,44328.18359,31441825.45,Asia
Senegal,66.54209091,3320.675537,14632459.09,Africa
Serbia,75.23045455,18255.05469,8871364.818,Europe
Seychelles,73.18581818,24427.71289,94878.09091,Africa
Sierra Leone,52.64436364,1637.296631,7182010.091,Africa
Singapore,82.84954545,93397.04688,5555421.636,Asia
Slovakia,76.72472727,30509.76953,5433984.364,Europe
Slovenia,80.58027273,37050.54688,2067296.818,Europe
Solomon Islands,72.05972727,2482.871826,604728.4545,Oceania
Somalia,55.88845455,1180.965942,13867210.36,Africa
South Africa,61.94527273,12665.83203,55322540,Africa
South Korea,81.98227273,42335.86719,50628654.45,Asia
South Sudan,56.68663636,1600,10550304.09,Africa
Spain,82.90418182,36210.875,46811336,Europe
Sri Lanka,76.30454545,12536.94141,20878851.91,Asia
Sudan,64.31181818,3927.043945,39015136.36,Africa
Suriname,71.20463636,15864.55078,558602.4545,South America
Sweden,82.24281818,50923.10938,9756633.636,Europe
Switzerland,83.12454545,68755.4375,8267511.545,Europe
Syria,71.19227273,2900,18658808.27,Asia
Taiwan,79.72154545,50500,23534918.91,Asia
Tajikistan,70.09745455,3657.573486,8488157,Asia
Tanzania,62.72590909,2635.356689,51705646.55,Africa
Thailand,75.95418182,17284.70117,68625664.45,Asia
Timor-Leste,68.47281818,3925.948242,1200515.818,Asia
Togo,59.70354545,2107.877686,7333265.273,Africa
Tonga,70.52381818,6346.999512,102762.1818,Oceania
Trinidad and Tobago,72.87718182,23722.47852,1367403.545,North America
Tunisia,75.941,10260.06543,11203284.27,Africa
Turkey,76.399,28393.4668,78468954.91,Asia
Turkmenistan,67.61372727,18200,5561036.091,Asia
Tuvalu,0,4411.00293,11123.72727,Oceania
Uganda,60.97109091,2175.031006,38622773.73,Africa
Ukraine,71.20354545,12375.92188,44850988.27,Europe
United Arab Emirates,77.26090909,63299.42188,9313948.455,Asia
United Kingdom,80.98390909,42675.78125,65805225.91,Europe
United States of America,78.85372727,59919.82031,320532386.8,North America
Uruguay,77.38545455,21608.42969,3414054,South America
Uzbekistan,70.85918182,7331.859863,30959961.91,Asia
Vanuatu,69.87154545,2854.29248,271233.0909,Oceania
Venezuela,72.58672727,12500,29244282.36,South America
Vietnam,75.13581818,8200.332031,92670201.64,Asia
Yemen,65.99809091,2500,26490335.55,Asia
Zambia,60.97218182,3277.816406,15919437.09,Africa
Zimbabwe,58.08527273,3353.411377,13788461.73,Africa
